status_message,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
"""I didn't even start gambling until I was 43.  I thought I was mature, but I was as vulnerable as a child.  I started going to the casino once or twice on the weekends.  It was a social thing.  I'd just play cards with my friends.  But I had good luck in the beginning.  I started to win.  And I started to love it.  I couldn't wait for the weekend.  Soon I started to go during the week.  I'd work the early shift and I'd have all afternoon to play.  I abandoned all my responsibilities.  Once you start playing-- you forget that you're hungry, you forget that you're thirsty, you even forget that you have a family.  I lost the grocery money, the rent money, everything.  Winning felt great.  And losing made me need to win.  I'd make up excuses every time I came home empty handed.  I'd say that I was mugged, or that my work hadn't paid us that week.  Eventually I had to sell my car.  I lost our house.  I lost my wife.  We'd been together for twenty years.  I just took for granted that she'd always be around.  The only thing that I didn't lose was my daughters.  They sat me down one day, and said: 'Dad, either quit gambling, or quit this house.'  And I never played again."" (Medellí_n, Colombia)",4/20/17 17:15,50824,1023,1253,41018,3302,613,13,5852,26
"""Sometimes I'd start crying in class for no reason.  Then when I got home from school, I'd just go straight to my room.  I couldn't even talk to my mom about it because I'd just start crying.  People would tell me: 'Just get up, exercise, and take a walk.'  But none of that helped.  Things got so bad that even the school was watching me.  I started bawling during a chemistry exam and I ended up in the school psychologist office.  I remember thinking: 'I don't care if I ever see another chemistry exam again.  Or my friends.  Or my mom.'  And I started to get this feeling that I was definitely going to do it.  I was going to lock myself in my room that night and take a bunch of pills.  The only thing that stopped me was imagining my mom finding my body.  That was three years ago.  That time seems so far away now.  I found a great therapist.  I learned so much about myself.  There's so much that I want to do now.  I want to travel.  I want to get married.  I want to have kids.  There are so many poems that I haven't written and songs I haven't heard.  So it's terrifying for me to think that I came so close.  My problems were small back then.  They were teenage problems.  But I came one step away from not being.  And I had made the decision to take that step.  I'm afraid that I can go back to that place again.  And next time, my problems will probably not be so small.""(Bogotíç, Colombia)",4/20/17 13:45,133774,2408,9885,98757,22039,579,14,12370,15
"""I think I'm obsessed with the idea of finding a girlfriend.  I think about it all the time.  I really want to know what it feels like.  I'm twenty-four.  I've never been in a relationship.  I'm terrified by the idea of being alone.  And I think that this desperation comes out in my energy.  The last girl I dated told me that I just needed to 'let it flow,' and 'see what happens.'  But I don't know how to do that.  I tried too hard to please her.  I wanted to make her fall in love with me.  I had to know for sure that we were together because she felt like my last chance to not be alone.  My anxiety ended up ruining everything.  When I finally get a girlfriend, I'm not sure how it will feel.  Maybe it will be great.  Or maybe then I'll just be terrified of losing her.""    (Bogotíç, Colombia)",4/19/17 14:15,78450,5303,2329,57793,5387,421,95,14728,26
"(3/3) ""The night I deserted was the most frightening moment of my life.  The guerrillas would have killed me if I'd been discovered.  I ran away in the middle of the night.  I found a road and hitched a ride with an oil truck from Ecuador.  I tried to cross the border but the army arrested me.  I thought for sure I would be executed.  But they gave me the chance to demobilize.  The first thing I wanted to do was see my family.  It was too dangerous to return home so I sent for them.  I thought my father would push me away, but he was very happy to see me.  My sisters told me that my disappearance had been very hard on him.  He had gotten very sick.  I'll always live with that regret, but we were able to spend four years together before he passed away.  I've rebuilt my life from scratch.  Leaving the guerrillas was like being born again.  I had no skills.  There was a lot of prejudice against me.  I had to work as a waitress and go to school at night.  But I'm almost finished with law school now.  And even though it took a lot of suffering to get here, I finally have the life that I imagined as a young girl.""(Bogotíç, Colombia)",4/18/17 19:15,104888,1209,1701,80490,20529,3485,29,350,5
"(2/3) ""I was the youngest one in the camp.  I felt very happy at first.  I didn't have to cook anymore.  I was having new experiences.  The guerrillas taught me rules.  They taught me how to use weapons.  They told me that we were fighting for the poor.  All of it sounded very good.  But then basic training began and it was very difficult.  I started to miss my family.  My father's birthday came around, and I could not stop thinking about him.  They sent me to another camp because my father kept searching for me.  I spent eight years with the guerillas.  We lived in the mountains.  I slept on the ground.  I didn't get a salary.  The fighting was continuous.  The army would bomb us day and night.  And I didn't speak to my family for a full seven years.  I always wondered what happened to them.  Finally it got to be too much, and I decided to desert.""  (Bogotíç, Colombia)",4/18/17 17:15,29285,305,661,22448,571,2347,7,3898,14
"(1/3)  ""I knew nothing about the guerrillas before I joined them.  The only thing I knew was that they lived better than me.  I grew up on a farm in a rural area.  We were very poor.  My mother abandoned our family so I had to take care of my younger siblings.  My father was a good man, but he didn't give me any liberties. He didn't let me go to town.  He didn't let me go to school.  He didn't let me have a boyfriend.  I wanted freedom, and the guerrillas seemed like my only way out.  They used to drive by our farm in their jeeps.  They seemed powerful.  Even the women wore camouflage.  One day the guerrillas stopped by our farm to buy some chickens, and I told them I wanted to join.  I was only thirteen years old.  They told me to meet them at a certain spot at 5 AM the next morning.  I didn't even say 'goodbye' to my father.  They told me that I was never allowed to speak to my family again.""       (Bogotíç, Colombia)",4/18/17 15:16,37199,732,1093,25342,453,5202,12,6167,23
"""We've been at war in this country for over fifty years.  There have been hundreds of thousands of deaths and millions of victims.  So a lot of people don't like the work that I do.  I manage a reintegration program for ex-combatants.  I'm trying to take away the main tool of war-- human beings.  We can't punish everyone who fought against us.  We can't jail them all.  That will only divide us further.  So we must find a way to reconcile with the 60,000 ex-combatants that live among us.  We must educate them.  We must find them jobs.  If we reject and stigmatize them, we will always be at war.  Reconciliation is a very hard task.  There are a lot of open wounds in this country.  People don't want to forgive.  Ex-combatants are often viewed as monsters.  My job is to show that their blood is like ours.  If we can't break the idea of 'good' and 'evil,' we will always be divided.  Reconciliation is the only way to change the course of our history.""  (Bogotíç, Colombia)",4/17/17 13:08,98187,1223,6491,81243,15065,1585,11,267,16
"""I'm unemployed right now, but it's my own decision.  I'm trying to rethink my life.  I've been a biology teacher for the past seven years.  I'd wake up at 5:30 AM every day and wouldn't get home until after 5 PM.  Then I'd spend the evening preparing lessons or grading exams.  Teaching was beautiful but I didn't like the philosophy of the school.  The focus was on being as productive as possible.  The kids were stressed.  They had no time to be children.  I just didn't feel that life should be like that.  It can't always be about growing, growing, growing.  There have to be cycles.  So I'm trying to take a step back.  I'm trying to enrich myself without having an exact objective.  I'm reading, and doing yoga, and participating in a dance group.  But it's been hard to appreciate the moment.  I've always felt such a pressure to work.  And when I'm not producing, it's hard to escape the feeling that I'm doing something wrong.""    (Bogotíç, Colombia)",4/13/17 17:40,206405,4714,12209,182337,22645,960,36,421,6
"""My father never valued my mother.  She did everything for him.  She worked all day, then she came home to cook dinner.  My father just came home to sleep.  She'd bring him his food on a tray.  Everything had to be perfect: right colors, right napkins, everything.  But he'd still call her names.  He'd get drunk and yell at her for nothing.  My mother was submissive and accepted it all.  She'd even get mad at me if I tried to intervene.  Eventually my father had an affair with our neighbor.  And two years ago he left our home to be with her.  Recently I spoke to him on the phone.  He sounded depressed.  He'd just broken up with the woman.  He told me that he'd given her everything, but she still left him.  He'd cooked for her, he'd treated her well, and he'd bought her whatever she wanted.  But nothing was enough.  I asked him if he realized what life was teaching him.  He had no answer.""(Bogotíç, Colombia)",4/12/17 19:15,241748,3788,12758,198948,18146,2594,270,21488,302
"""I'm really bothered by people using cocaine.  I get angry when I see people doing it for fun.  So many horrible things have happened in my country just so people can have 'fun.'  Cocaine was the motor behind the war in Colombia.  It financed the drug lords, the paramilitary, and the guerillas.  It paid for the bombs, and the guns, and the kidnappings.  It corrupted our government.  It ruined our reputation.  There isn't a family in Colombia that hasn't been hurt.  All of us lost friends and family members.  And this violence was funded by people who use cocaine. Yet none of them feel responsible for what happened.""(Bogotíç, Colombia)",4/12/17 17:16,122118,1996,10145,99465,4967,705,25,16432,524
"""My mother abandoned me as an infant.  My father left when I was seven, and a year later I began working as a maid.  My earliest memories are cooking and cleaning.  When I turned seventeen, I got a job on a construction site.  I met a much older man there.  I thought he was very handsome.  And he was so nice to me.  He'd bring me flowers, and apples, and oranges.  If anyone was aggressive toward me, he would defend me.  He made me feel whole.  It was the first time that I'd ever felt truly happy.  When I found out I was pregnant, I was so excited to tell him.  I thought I would finally have a family.  He'd always told me that he wanted to be with me.  But when I gave him the news, he said: 'I have a wife and children.  We can never be together.'  Even now it hurts to remember.  It hurt me more than not having parents.""(Medellí_n, Colombia)",4/11/17 18:06,86213,1275,1382,38427,2885,721,29,43456,695
"""My sister was murdered when I was twelve years old.  Her husband killed her because of jealousy.  After that it was just me and my mom.  I stopped studying.  I became the black sheep of the family.  I left the house and went my own way.  There was a gang in the neighborhood.  They gave me a place to live.  They gave me work.  They gave me marijuana and cocaine.  I was always high.  My job was to collect protection money from local businesses.  There were five of us who made the rounds.  When I turned fourteen they told me I was ready to 'test the knife.'  There was a shopkeeper named Maria.  Her husband was a pain in the ass.  He would always scream at us and call us sons of bitches.  So we stabbed him over and over.  There was blood everywhere.  I felt like throwing up.  Afterwards I felt empty inside.  So I just did more drugs.  And the way I looked at itäóîif my sister got killed, why shouldn't other people die?  At least that's how I always justified it to myself.""         (Bogotíç, Colombia)",4/11/17 13:38,58621,1589,1377,30386,305,4101,16,23075,738
"""We've been dating for a year and a half.  It's been a wonderful relationship but recently it's changed a lot.  I feel like I'm the one holding it together.  I'm the one that calls.  I'm the one that texts. We used to talk every day, but now she's not even trying.  Maybe she just feels smothered.  Maybe she's testing to see if I'll stick around.  I just don't know.  I can't decipher what she wants.  When I ask her directly, her answers are never precise.  She keeps saying: 'I'll think about it.'  So I keep giving her one last tryäóîover and over again.  I just want to get things back to the way they used to be.""  (Bogotíç, Colombia)",4/10/17 18:02,63402,2069,1090,47265,2784,98,19,13209,27
"""I gave the last nine years of my life to my job.  It was all I did.  My work made me feel 'needed.'  I was an accountant and I could do things that nobody else could do.  My bosses kept telling me how important I was to the company.  But one day they asked me to 'touch up' some numbers to make them look better.  And I realized I was giving them way more of my time than they deservedäóîso I quit.  The first thing I did was rest.  The second thing I did was repair the relationships that I'd been neglecting.  I reached out to old friends.  I arranged to be with them physically, and not just over texts or Facebook.  At first I was nervous because I didn't know what we'd talk about.  It had been so long.  But it was easy.  One of them had just gotten a scholarship.  Another was becoming a father.  So much had happened in their lives that I had missed.  It felt so good to reconnect.  For nine years I'd been focusing on numbers.  It wasn't real.  Now I'm connecting with people again, and I feel like my feet are back on the ground.""  (Bogotíç, Colombia)",4/10/17 14:00,285526,3079,8581,244829,39681,802,66,144,4
"""I didn't even really like animals.  But my daughter said she wanted a pet.  So I brought home this kitten, and told my daughter: 'It's your responsibility.  I'm not going to get involved.'  But now the kitten loves me more than the girl.  I call him JJ.  He's always the first one to greet me when I come home.  When I leave for work, he lays on my flip-flops by the door.  He always wants to be with me.  Right now we're coming back from a trip to the store.  My daughter is a little jealous.  She's always trying to steal him from me.""    (Medellí_n, Colombia)",4/9/17 17:15,318908,10764,9648,244232,56539,98,18009,22,8
"""It was a slip.  The first thing I thought about was an abortion.  I was only fifteen at the time.  But after getting my ear chewed off, and all of the bitching, and all of the scolding, I decided to take responsibility.  My daughter is three now.  I've had to give up so much.  I can't go to university.  I can't go out, or go on trips.  Now my life is nothing but a routine.  I'm a slave to paying rent.  I work seven days a week at a casino for minimum wage.  I have to support my grandmother and sisters.  My mother left the house in December to live with a man.  I never talk about any of this.  I keep to myself because nobody cares.  Even if I'm happyäóînobody cares.  I only worry about my daughter's happiness.  I only think about her future.  I have hope for her.  But not for me.""  (Medellí_n, Colombia)",4/9/17 15:15,184032,4129,5031,85821,11033,660,69,86169,280
"""There was a lot of sickness in my house.  My wife has heart problems and is connected to oxygen.  I was drinking a lot.  Everyone kept to themselves and stayed in their rooms.  But one day I had a prophecy in the church that I would have a very big happiness.  The prophecy said that someone was going to come and fill all the voids of my home.  A few weeks later my daughter was pregnant.  And here he is!  He's consumed my entire life.  I get to watch him every afternoon.  I want him to see me as the happy grandpa who never says 'no.' I don't even drink anymore.  He's brought our entire family together.  Recently my wife told me: 'I can tell you are so happy.  Your eyes are always sparkling now.'""  (Medellí_n, Colombia)",4/7/17 14:45,204288,1626,3101,154487,49269,404,78,46,4
"""I'm a single father.  I've had my son since he was two.  His mother and I used to consume a lot of drugs, but I did a full stop when he was born.  He saved my life in a lot of ways.  But his mother never got her life together.  She'll show up sporadically but then disappear for months at a time.  I try to fill in the holes with as much love as possible, but I know it bothers him.  He's just not at an age where he can fully express his feelings.  I try to protect him from all the volatility of my own life.  I broke up with my girlfriend yesterday.  And I'm sitting here wondering how I'm going to explain it to him.  I actually waited a long time before introducing them because I didn't want her to be another absence in his life.  But now it didn't work out.  And I've got to figure out how to break that down for him.""(Bogotíç, Colombia)",4/7/17 11:34,121480,1530,2046,88821,12515,239,21,19866,18
"""I want to be an archeologist.  That's a person who explores the desert and looks for dinosaur eggs and Egyptians.  I've been thinking a lot about it.  I'm already watching Jurassic Park and collecting dinosaur stickers.  And once I found a piece of coral in the shape of a heart.""(Bogotíç, Colombia)",4/6/17 17:25,194081,3283,4938,156278,35625,102,2061,11,4
"""I met him at the company where we worked.  We went out dancing.  He was kind to me.  Things started changing after we got married.  I'd rush home from work so I could cook for the whole family.  But if the food wasn't ready on time, he'd get upset.  One day his mistress came to the door to tell me about their affair.  I was pregnant at the time.  He came back from work and found her in the house, and he hit me so hard that he broke my face.  I still have the scars.  The abuse got worse and worse.  I stayed for a long time.  At first I thought marriages were supposed to be like that.  And by the time I learned otherwise, he wouldn't let me go.  He'd lock me in the house.  He'd threaten me by putting a gun to our son's head.  When I finally got a restraining order, I was in such bad shape that I checked into a mental institution.  Now I'm alone and it's the happiest time of my life.  I'm able to work.  I can eat whatever I want.  I can go out whenever I want.  Even sitting here and smoking a cigarette is a joy for me.""(Bogotíç, Colombia)",4/6/17 15:12,157883,2334,3213,111760,22704,1181,34,21748,456
"""I've been sitting here for four hours thinking about what I should do.  I don't want to go home.  I fucked up again.  I've been a drug addict my whole life.  But I was clean for three months.  I got a job at a call center.  I was doing well.  Then as soon as I got my paycheck, I went out drinking with some coworkers.  Just a normal thing.  But then I tried a little coke, went on a binge, and lost my job.  Same story as always.  And now I don't want to go home.  I live with my mother.  She's never lost faith in me.  My brother was killed in the army so I'm her only son.  She doesn't deserve this.  She was so happy that I had a job.  She'd convinced herself that things were finally going to be OK.  And I've got to go home and tell her what happened.  And I don't want to do it.  She's not even going to be mad.  She'll just be so hurt.  Then she'll ask me if I've eaten.""  (Bogotíç, Colombia)",4/5/17 19:43,96954,2714,2817,53575,4526,286,45,38299,223
"""I was the best student in my high school.  I put so much pressure on myself.  I never failed a class.  But I got sick during 10th grade and I started to fall behind.  That's when the panic attacks began.  One day the teacher handed me my grade report, and I couldn't breathe.  My heart was beating very fast.  I felt disconnected.  I saw people trying to talk to me but I couldn't hear them.  Eventually I passed out and woke up in the infirmary.  The attacks were almost daily after that.  Last year I started college.  And I can't be the best student here no matter how hard I try.  Everyone is so talented.  My panic attacks got so bad that I had to cancel my first semester.  But now I'm working on acknowledging my anxiety.  I used to try to hide it.  I would log off social media.  I wouldn't answer calls.  I thought that if nobody knew, it didn't exist.  But the more I talk about my problem, the more I realize that other people experience similar things.  So I'm trying to express it more.  I had a great teacher who told me: 'Instead of letting anxiety keep you from doing your art, let it be the thing that motivates your art.'""            (Bogotíç, Colombia)",4/5/17 17:34,230659,4136,13139,190837,35125,243,47,4396,11
"""I do yoga at the senior center.  But it's not advanced enough for me.  I can do the cat, the dog, the bridge, the snakeäó_ all of it.  My class is filled with younger people in their sixties and seventies.  They are always complaining:  'My hip!  My diabetes!'  But you'll never hear a word out of me.""    (Medellí_n, Colombia)",4/5/17 14:45,191423,4248,5692,155033,25226,353,10795,11,5
"""We're doing great now. But this time last year we found a tumor on her spine and lungs. She seemed like a perfectly healthy child-- just like now. But one day she had a very bad episode of pneumonia. And the doctors told us it was cancer. But Carolina was so brave the entire time. She made us so proud. She wasn't afraid of the doctors. She stuck out her arm when it was time for treatment. She was even brave during the surgery. It was over before Carolina even realizedäóîwasn't it? But those were the longest four hours of Mommy's life."" (Montevideo, Uruguay)",4/3/17 16:45,100332,560,909,74306,20626,345,23,5028,4
"""I didn't find out that I liked teaching until I was 45 years old.  I was working as a graphic designer, and I volunteered to teach a group of kids from a poor region.  It was part of a special program aimed at teenagers who'd dropped out of school.  At first I was scared.  Many of them had behavior problems.  Some of them were addicted to drugs.  One of them even brought a knife to class.  But I discovered that I could really connect with them.  Sometimes I could even reach kids that refused to talk to psychologists.  I learned that I could transform someone's life just by listening.  The program only lasted six months, but it gave me such sense of satisfaction.  I've been training for the last two years to become a real teacher.  My test results just arrived and I got assigned to the school I wanted.  I'm going to teach Portuguese to elementary school students.""(Montevideo, Uruguay)",4/2/17 17:45,280633,2873,5887,227165,52361,1042,49,12,4
"""She doesn't like my farts.  She won't even let me eat cabbage anymore.  I tell her that it's worse to hide them because you'll get caught anyway.""(Montevideo, Uruguay)",3/31/17 15:45,83327,12267,4326,48257,2286,152,32589,33,10
"""I was thirteen when my mother started to change.  My parents had just gotten divorced.  My mother should have been sad but she kept going out to dance.  Sometimes she'd stay out all night.  She became very talkative and had a hard time concentrating.  She'd say that she wanted to sell everything and travel the world.  Then she got depressed.  She stayed in her room.  She gained a lot of weight.  I actually preferred the depression, because at least then she'd stay at home.  The manic phases got worse and worse.  They are so bad now that she has to go to the clinic.  Then the depression will come again and she can't stop crying.  Last October she returned to her normal self.  It lasted about a week.  I didn't leave her side.  We took walks every day.  I always tell her that she gave us the best childhood.  She was always there for us.  She made crafts with us.  She taught me how to cook.  She would even throw birthday parties for my toys.  I still think I'm very lucky.  I hate seeing her like this, but she's still the best mom in the world.""(Montevideo, Uruguay)",3/31/17 13:45,111180,1015,2198,79938,17296,147,28,13753,18
"""I grew up in Spain right after the civil war.  When I was eleven I was sent to a Catholic boarding school.  They fed me and sheltered me.  But they only taught me religion.  They were training me to be a priest.  I was taught to fear God.  I was taught to fear the outside world.  I was taught to fear everything.  I left the grounds one day when I was twenty-eight.  I went to a barbershop and got my hair cut by a French woman.  I had never really spoken to a woman before.  She told me I was cute.  That same day I bought a newspaper.  It was the first time I'd ever bought something with my own money.  When I returned to the school, I was changed.  I had discovered freedom.  I began to realize their lies and so I wasn't useful to them anymore.  A few months later I met a woman in church and fell in love.  We got married and had three children.  I left all of it behind, except for the fear.  Sometimes I still feel very afraid for no reason.  That will always be a part of me.""    (Montevideo, Uruguay)",3/30/17 19:44,86115,1239,2361,71768,5826,1072,22,7315,112
"""I have Asperger's, but I wasn't diagnosed for a long time.  I was a polite child.  I found it easy to concentrate at school.  I had some problems socializing but that's pretty normal for children.  But my problem is that I'm too transparent.  I kept trying to fix people.  I could never just stand aside and let things be.  I kept telling people what was wrong with their lives.  I thought I was helping them.  I just wanted everything to be in order.  But I accidentally stirred up so much negativity.  Now I'm sometimes afraid to talk to people.  I don't want to cause any problems.  There's no danger in what I just said-- is there?""    (Montevideo, Uruguay)",3/30/17 15:45,96376,1622,3114,74323,11013,246,29,10757,8
"""In twenty minutes I lost what I had been building for forty years.  It happened while I was at work.  My mother tried to turn on the stove and it caught fire.  I lost everything. All my possessions and photographs were destroyed.  Everything seemed hopeless.  I didn't sleep for many nights after it happened.  But so many people came to help me.  My friends let me live with them for months.  My neighbors helped me clean the site and we began to rebuild.  People were giving me extra materials.  Twenty-five volunteers showed up from the local construction union.  The experience changed me.  I see people differently now.  I thought that the world was full of people asking for things that they didn't need.  So I just focused on taking care of myself.  As soon as my house is finished, I'm doing whatever I can to help people.""  (Montevideo, Uruguay)",3/29/17 19:25,179923,1074,5768,140686,34652,677,40,3856,12
"""She keeps bringing home animals.  I try to tell her that our house is too small for more pets.  She keeps saying, 'Our house is small but our hearts are big.'  She brings them home while I'm working.  Then by the time I get home, the kids have already given them names, and there's nothing I can do.  It started with one bird.  But then the bird got 'lonely.'  So now we have four birds.  And eleven hamsters.  And rabbits.  And fish.  Now she's started texting me pictures of dogs that don't have a home.  It's only a matter of time.""  (Montevideo, Uruguay)",3/29/17 14:25,234344,19445,14932,168463,46834,309,18687,29,22
"""I downsized my life to one large suitcase, and I've been traveling non-stop for seven years.  Everyone's happy.  My ex-wife got the real estate.  And I got my peace.""(Montevideo, Uruguay)",3/28/17 19:29,223991,3208,7427,195015,18377,611,9933,48,7
"(2/2)  ""It's very difficult to talk about adoption on the Internet.  No matter what you say, somebody will say the opposite.  We adopted Axel last January.  He had spent three years in the orphanage.  The staff loved him and were desperate to find him a family.  We were the only ones on the list for an older child.  We knew it was going to be difficult.  I had read a lot of literature on the difficulties of overcoming early neglect.   And we're making progress.  We're teaching him that our home is a permanent home.  We are learning that touch is a good thing.  We are learning that hugs can make you feel better.  And I'm learning to not put so much pressure on myself.  At first we felt so much pressure to love him.  It would hurt me when he didn't want to be hugged.  I wanted to immediately love him as much as our biological son.  And I felt guilty because it wasn't happening right away.  But then I stopped pressuring myself.  My husband and I decided to focus on basics.  We focused on providing food, shelter, and education.  And once we stopped pressuring ourselves to feel a certain way, we discovered that we already loved him quite a bit.  It's a rollercoaster.  But I feel like we're heading up.  Adopting an older child is difficult, but every child is difficult.  My biological child was difficult.  Only this time, after several months, I'm sleeping through the night, my boobs don't hurt, and I don't smell like diapers.  So I feel like I should be doing a victory dance.""(Santiago, Chile)",3/27/17 16:50,223709,2784,5292,164766,57605,95,1223,14,6
